epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2132.68,1.19324,1.13543,1.34779,0.84072,0.6576,0.7415,0.45349,1.26831,0.87137,1.29801,0.000575004,0.000575004,0.000575004
87,2157.05,1.19987,1.1222,1.33927,0.81488,0.66894,0.74158,0.4632,1.22866,0.85866,1.25522,0.000570004,0.000570004,0.000570004
88,2181.01,1.17366,1.10113,1.33436,0.82914,0.66578,0.75113,0.46326,1.23297,0.84419,1.25279,0.000565004,0.000565004,0.000565004
89,2205.06,1.18313,1.10764,1.32968,0.82083,0.67209,0.75132,0.46691,1.21255,0.85163,1.24186,0.000560004,0.000560004,0.000560004
90,2229.24,1.1817,1.08677,1.32646,0.8409,0.65613,0.74369,0.46098,1.22503,0.85058,1.25984,0.000555004,0.000555004,0.000555004
91,2253.04,1.18808,1.10451,1.32875,0.8455,0.65411,0.7453,0.4645,1.21995,0.84709,1.25504,0.000550005,0.000550005,0.000550005
92,2277.14,1.1839,1.10321,1.3313,0.83956,0.64875,0.7436,0.46155,1.24213,0.85416,1.26192,0.000545005,0.000545005,0.000545005
93,2301.02,1.17253,1.09421,1.31626,0.8325,0.65539,0.74994,0.46429,1.23096,0.83619,1.2461,0.000540005,0.000540005,0.000540005
94,2324.84,1.17977,1.07425,1.32166,0.83027,0.67305,0.75427,0.4718,1.22103,0.82779,1.2447,0.000535005,0.000535005,0.000535005
95,2349.09,1.17939,1.09374,1.32893,0.83355,0.66827,0.75703,0.47153,1.20974,0.83456,1.24676,0.000530005,0.000530005,0.000530005
96,2373,1.16809,1.09343,1.33368,0.84906,0.67402,0.76137,0.47689,1.19037,0.81588,1.22655,0.000525005,0.000525005,0.000525005
97,2397.43,1.1675,1.07436,1.31412,0.83025,0.66823,0.75255,0.46799,1.22006,0.83108,1.23579,0.000520005,0.000520005,0.000520005
98,2421.13,1.16617,1.08911,1.32529,0.84053,0.6751,0.7592,0.47547,1.20622,0.82419,1.23833,0.000515005,0.000515005,0.000515005
99,2444.94,1.16861,1.07357,1.3202,0.85811,0.663,0.75645,0.4756,1.20469,0.80909,1.23168,0.000510005,0.000510005,0.000510005
100,2468.69,1.16286,1.05535,1.31316,0.82859,0.68231,0.76075,0.47425,1.22023,0.81616,1.24523,0.000505005,0.000505005,0.000505005
101,2492.5,1.15583,1.05981,1.30624,0.84482,0.67892,0.7664,0.48213,1.19616,0.8036,1.22161,0.000500005,0.000500005,0.000500005
102,2516.6,1.14187,1.04393,1.30943,0.83497,0.67891,0.76243,0.47957,1.18955,0.81128,1.22265,0.000495005,0.000495005,0.000495005
103,2540.52,1.15859,1.04721,1.30662,0.85377,0.68425,0.76523,0.48609,1.18411,0.79323,1.22032,0.000490005,0.000490005,0.000490005
104,2564.77,1.15345,1.04566,1.30848,0.83823,0.67607,0.76132,0.47595,1.22174,0.80936,1.24737,0.000485005,0.000485005,0.000485005
105,2588.64,1.14789,1.04374,1.30856,0.83009,0.67973,0.76078,0.47752,1.21975,0.80106,1.23569,0.000480005,0.000480005,0.000480005
106,2612.4,1.15893,1.04426,1.306,0.84916,0.67873,0.76641,0.48262,1.20731,0.79033,1.23713,0.000475005,0.000475005,0.000475005
107,2636.27,1.14429,1.03912,1.29767,0.83998,0.68225,0.76264,0.48267,1.18974,0.7958,1.2252,0.000470005,0.000470005,0.000470005
